"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Strobe Net Name","Eye-Mask Width, TdIVW_Total, [ps]","Eye-Mask Height, VdIVW_Total, [mV]","Voltage at Widest Eye Opening, Vcent, [mV]","Average Center Voltage, Vcent(pin_mid), [mV]","Output Delay Uncertainty, [ps]","Min Setup Time Measured, [ps]","Min Setup Time Margin, [ps]","Min Setup Time Margin with Output Delay Uncertainty, [ps]","Min Setup Time Trace Point, [ns]","Min Hold Time Measured, [ps]","Min Hold Time Margin, [ps]","Min Hold Time Margin with Output Delay Uncertainty, [ps]","Min Hold Time Trace Point, [ns]","VIHL_AC/2 Limit, [mV]","Min Peak Above Vcent(pin mid) [mV]","Min Peak Above Vcent(pin mid) Margin, [mV]","Min Peak Above Vcent(pin mid) Trace Point, [ns]","Min Peak Below Vcent(pin mid) [mV]","Min Peak Below Vcent(pin mid) Margin, [mV]","Min Peak Below Vcent(pin mid) Trace Point, [ns]","Min Voltage Above Eye-Mask [mV]","Min Voltage Above Eye-Mask Trace Point, [ns]","Min Voltage Below Eye-Mask [mV]","Min Voltage Below Eye-Mask Trace Point, [ns]","Min Pulse Width [ps]","Min Pulse Width Limit, TdIPW, [ps]","Min Pulse Width Margin, [ps]","Min Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Pulse Width Trace Point, [ns]","Min Slew Rate [V/ns]","Min Slew Rate Limit, SRIN_dIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Min Slew Rate Trace Point, [ns]","Max Slew Rate [V/ns]","Max Slew Rate Limit, SRIN_dIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Max Slew Rate Trace Point, [ns]","Min Slew Rate (2) [V/ns]","Min Slew Rate (2) Limit, SRIN_dIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Min Slew Rate (2) Trace Point, [ns]","Max Slew Rate (2) [V/ns]","Max Slew Rate (2) Limit, SRIN_dIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2) Trace Point, [ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Read rank(1,1)","U2.G2","U1.F4","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ1","Pass","Read rank(1,1)","U2.F7","U1.H6","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ10","Pass","Read rank(1,1)","U2.C3","U1.U2","DDR_UDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ11","Pass","Read rank(1,1)","U2.C7","U1.V5","DDR_UDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ12","Pass","Read rank(1,1)","U2.C2","U1.W2","DDR_UDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ13","Pass","Read rank(1,1)","U2.C8","U1.V6","DDR_UDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ14","Pass","Read rank(1,1)","U2.D3","U1.Y1","DDR_UDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ15","Pass","Read rank(1,1)","U2.D7","U1.W1","DDR_UDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ2","Pass","Read rank(1,1)","U2.H3","U1.E3","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ3","Pass","Read rank(1,1)","U2.H7","U1.F3","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ4","Pass","Read rank(1,1)","U2.H2","U1.F1","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ5","Pass","Read rank(1,1)","U2.H8","U1.G5","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ6","Pass","Read rank(1,1)","U2.J3","U1.G2","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ7","Pass","Read rank(1,1)","U2.J7","U1.F2","DDR_LDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ8","Pass","Read rank(1,1)","U2.A3","U1.U1","DDR_UDQS_P","     0","   0.0","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","   0.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
